address, balance, time
terra1mxf7d5updqxfgvchd7lv6575ehhm8qfdttuqzz, 384918595.525530, 
terra1dp0taj85ruc299rkdvzp4z5pfg6z6swaed74e6, 300000000.000000, 
terra12wk8dey0kffwp27l5ucfumczlsc9aned8rqueg, 99978000.000000, 
terra146ahqn6d3qgdvmj8cj96hh03dzmeedhsf0kxqm, 95358879.366223, 
terra1gm5p3ner9x9xpwugn9sp6gvhd0lwrtkyrecdn3, 52670321.258352, 
terra1897an2xux840p9lrh6py3ryankc6mspw49xse3, 36150574.213807, 
terra1f32xyep306hhcxxxf7mlyh0ucggc00rm2s9da5, 17474634.134792, 
terra13yxhrk08qvdf5zdc9ss5mwsg5sf7zva9xrgwgc, 4769143.791565, 
terra13n0lynp9s8ks8gm3nzcgakg0dl8athnu8xscde, 1624515.513390, 
terra1wqwfwh797tf77e2xpvy9xx082pwpxxlm9x4xws, 1027094.736326, 
terra1v5hrqlv8dqgzvy0pwzqzg0gxy899rm4kdn0jp4, 912884.257827, 
terra1kgj2zc0qxltr5vsgycmxp7x337q5s9lvxlh694, 731463.228244, 
terra14c0zfukckcw2ulu5sj9hcmyf87ptvfr3gh2ptk, 477909.854105, 
terra1wfz7h3aqf4cjmjcvc6s8lxdhh7k30nkczyf0mj, 415208.056118, 
terra1m85q74rvhqhv2usudjuc6kat6fw7gege2qgnqe, 339980.653179, 
terra1y6v0phcef3tx0hha79h9quzqklhlpfmevcd0fy, 209318.374165, 
terra164jqcw408r27s624scqdzckv6wt8uzrawre2dw, 142770.143412, 
terra1fs7mmpducjf25j70sk3sz6k5phz2fllmyr5gwz, 100000.000000, 
terra1vca36gazapns38mvupa2pfjz0g39ekdgk0wnea, 98331.116676, 
terra1vqh3n58ln0xcfm8xa3fhttaz2gemqgrhqglm5s, 70382.567613, 
terra1jscgcv3rep7gq60ld4e6d9clrhx87uuzzp7jsj, 58150.517071, 
terra1nytyq272wdxm64adf40unavkhk8uwxmmvm5rxh, 51275.815118, 
terra155svs6sgxe55rnvs6ghprtqu0mh69keh9h4dzr, 48138.658038, 
